entry_id,self_accession,parent_accession
363,JGAZ000002911,JGAS000178
363,JGAZ000002912,JGAS000178
363,JGAZ000002913,JGAS000178
363,JGAZ000002914,JGAS000178
363,JGAZ000002915,JGAS000178
363,JGAZ000002916,JGAS000178
363,JGAZ000002917,JGAS000178
369,JGAZ000002918,JGAS000114
370,JGAZ000002919,JGAS000114
375,JGAZ000002391,JGAS000149
375,JGAZ000002392,JGAS000149
375,JGAZ000002393,JGAS000149
378,JGAZ000002922,JGAS000186
378,JGAZ000002923,JGAS000186
378,JGAZ000002924,JGAS000186
378,JGAZ000002925,JGAS000186
381,JGAZ000002872,JGAS000176
381,JGAZ000002873,JGAS000176
381,JGAZ000002874,JGAS000176
381,JGAZ000002875,JGAS000176
381,JGAZ000002876,JGAS000176
381,JGAZ000002877,JGAS000176
381,JGAZ000002878,JGAS000176
381,JGAZ000002879,JGAS000176
381,JGAZ000002880,JGAS000176
381,JGAZ000002881,JGAS000176
381,JGAZ000002882,JGAS000176
381,JGAZ000002883,JGAS000176
381,JGAZ000002884,JGAS000176
381,JGAZ000002885,JGAS000176
381,JGAZ000002886,JGAS000176
381,JGAZ000002887,JGAS000176
